"Trait Notes: Facial expressions should be counted as base characters, rather than traits. Traits listed as ""none"" should not be counted as traits, except in the NFT contract for generating mints.",,,,,,,,,,,,,
"Please be mindful of the highlighted notes found regarding Team/Jerseys. If you wish, go ahead and prepare all jerseys to save time later but note that a total of 33 will be used (32 qualifiers, + bonus team if Ukraine qualifies).",,,,,,,,,,,,,
,,,,,,,,,,,,,
A total of 184 traits will be needed according to this list. ,,"There are 196 total traits needed for the NFT contract (when counting ""None"" attributes)",,,,,,,,,,,
Please ensure you refer to the links provided for hairstyles/facial hair styles for accurate representations. ,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Design Notes: Characters should be full bodied (as shown in the example for the FCF Ballerz). However, our designs should be more ""fun"" with larger, more ""cartoonish"" sized heads and smaller bodies.",,,,,,,,,,,,,
,,,,,,,,,,,,,
,Trait,Category Traits: 33 (5 will not qualify),,,,,,,,,,,
,Team Jersey,Ukraine will be incl. whether qualified or not.,,"Note: If Ukraine does qualify, the next highest FIFA Ranked team will become the 33rd team, most likely Italy",,,,,,,,,
Rank,Name,Occurrence,Qty. per Team,,,,,,,,,,
,,,,,,,,,,,,,
1,Brazil,300 (3.030303%),300,,,,,,,,,,
2,Belgium,300 (3.030303%),300,,,,,,,,,,
3,France,300 (3.030303%),300,,,,,,,,,,
4,Argentina,300 (3.030303%),300,,,,,,,,,,
5,England,300 (3.030303%),300,,,,,,,,,,
6,Spain,300 (3.030303%),300,,,,,,,,,,
7,Portugal,300 (3.030303%),300,,,,,,,,,,
8,Mexico,300 (3.030303%),300,,,,,,,,,,
9,Netherlands,300 (3.030303%),300,,,,,,,,,,
10,Denmark,300 (3.030303%),300,,,,,,,,,,
11,Germany,300 (3.030303%),300,,,,,,,,,,
12,Uruguay,300 (3.030303%),300,,,,,,,,,,
13,Switzerland,300 (3.030303%),300,,,,,,,,,,
14,United States,300 (3.030303%),300,,,,,,,,,,
15,Croatia,300 (3.030303%),300,,,,,,,,,,
